sku,nombre,marca,precio_normal,precio_internet,precio_sbpay,precio_fonasa,descuento_internet_pct,url,imagen,categoria_1,categoria_2,categoria_3,tipo_venta,requiere_receta,bioequivalente,retiro_tienda,despacho_domicilio,stock_global,disponible_comuna,region,comuna,capturado_en
588497,Toallitas Húmedas Aqua Baby 240 Unidades,Aqua Baby,10199,10199,,,,https://salcobrand.cl/products/toallitas-humedas-aqua-baby-240-unidades?default_sku=588497,https://static.salcobrand.cl/spree/products/123350/small/588497.jpg?1728414762,Infantil y Mamá,Infantil y Mamá > Mundo Pañales,Infantil y Mamá > Mundo Pañales > Mudado,normal,False,False,True,True,True,True,Arica y Parinacota,Arica,2026-07-29T07:06:09-04:00
588497,Toallitas Húmedas Aqua Baby 240 Unidades,Aqua Baby,10199,10199,,,,https://salcobrand.cl/products/toallitas-humedas-aqua-baby-240-unidades?default_sku=588497,https://static.salcobrand.cl/spree/products/123350/small/588497.jpg?1728414762,Infantil y Mamá,Infantil y Mamá > Mundo Pañales,Infantil y Mamá > Mundo Pañales > Mudado,normal,False,False,True,True,True,False,Antofagasta,Antofagasta,2026-07-29T07:06:09-04:00
588023,Crema Protectora Ozono Radiance Fps50 Iluminadora190g,Rayito de Sol,6099,6099,,,,https://salcobrand.cl/products/crema-protectora-ozono-radiance-fps50-iluminadora190g?default_sku=588023,https://static.salcobrand.cl/spree/products/151688/small/588023_1.jpg?1752859508,Cuidado Personal,Cuidado Personal > Protección Solar,Cuidado Personal > Protección Solar > Protectores Solares,normal,False,False,True,True,True,False,Tarapaca,Iquique,2026-07-29T07:06:09-04:00
588023,Crema Protectora Ozono Radiance Fps50 Iluminadora190g,Rayito de Sol,6099,6099,,,,https://salcobrand.cl/products/crema-protectora-ozono-radiance-fps50-iluminadora190g?default_sku=588023,https://static.salcobrand.cl/spree/products/151688/small/588023_1.jpg?1752859508,Cuidado Personal,Cuidado Personal > Protección Solar,Cuidado Personal > Protección Solar > Protectores Solares,normal,False,False,True,True,True,False,Arica y Parinacota,Arica,2026-07-29T07:06:09-04:00
588023,Crema Protectora Ozono Radiance Fps50 Iluminadora190g,Rayito de Sol,6099,6099,,,,https://salcobrand.cl/products/crema-protectora-ozono-radiance-fps50-iluminadora190g?default_sku=588023,https://static.salcobrand.cl/spree/products/151688/small/588023_1.jpg?1752859508,Cuidado Personal,Cuidado Personal > Protección Solar,Cuidado Personal > Protección Solar > Protectores Solares,normal,False,False,True,True,True,False,Antofagasta,Antofagasta,2026-07-29T07:06:09-04:00
586862,Calzón Menstrual Reutilizable Kotex M 1 Unidad,Kotex,17999,17999,,,,https://salcobrand.cl/products/calzon-menstrual-reutilizable-kotex-m-1-unidad?default_sku=586862,https://static.salcobrand.cl/spree/products/107257/small/586862-1.jpg?1710526522,Cuidado Personal,Cuidado Personal > Higiene Personal,Cuidado Personal > Higiene Personal > Protección Menstrual,normal,False,False,True,True,True,False,Tarapaca,Iquique,2026-07-29T07:06:09-04:00
586862,Calzón Menstrual Reutilizable Kotex M 1 Unidad,Kotex,17999,17999,,,,https://salcobrand.cl/products/calzon-menstrual-reutilizable-kotex-m-1-unidad?default_sku=586862,https://static.salcobrand.cl/spree/products/107257/small/586862-1.jpg?1710526522,Cuidado Personal,Cuidado Personal > Higiene Personal,Cuidado Personal > Higiene Personal > Protección Menstrual,normal,False,False,True,True,True,False,Arica y Parinacota,Arica,2026-07-29T07:06:09-04:00
586862,Calzón Menstrual Reutilizable Kotex M 1 Unidad,Kotex,17999,17999,,,,https://salcobrand.cl/products/calzon-menstrual-reutilizable-kotex-m-1-unidad?default_sku=586862,https://static.salcobrand.cl/spree/products/107257/small/586862-1.jpg?1710526522,Cuidado Personal,Cuidado Personal > Higiene Personal,Cuidado Personal > Higiene Personal > Protección Menstrual,normal,False,False,True,True,True,False,Antofagasta,Antofagasta,2026-07-29T07:06:09-04:00
572729,Gel Piel Seca 200 Ml,Bio-Oil,15599,15599,,,,https://salcobrand.cl/products/gel-piel-seca-200-ml?default_sku=572729,https://static.salcobrandonline.cl/spree/products/32578/small/572729.jpg?1641477658,Belleza,Belleza > Skincare,Belleza > Skincare > Cremas,normal,False,False,True,True,True,False,Tarapaca,Iquique,2026-07-29T07:06:09-04:00
572729,Gel Piel Seca 200 Ml,Bio-Oil,15599,15599,,,,https://salcobrand.cl/products/gel-piel-seca-200-ml?default_sku=572729,https://static.salcobrandonline.cl/spree/products/32578/small/572729.jpg?1641477658,Belleza,Belleza > Skincare,Belleza > Skincare > Cremas,normal,False,False,True,True,True,False,Arica y Parinacota,Arica,2026-07-29T07:06:09-04:00
